lemma	source
agolpamiento|NOUN|Masc	agolpar|VERB
agonizado|ADJ	agonizar|VERB
agonizar|VERB	agonía|NOUN|Fem
agostamiento|NOUN|Masc	agostar|VERB
agotable|ADJ	agotar|VERB
agotador|ADJ	agotar|VERB
agotado|ADJ	agotar|VERB
agotamiento|NOUN|Masc	agotar|VERB
agradable|ADJ	agradar|VERB
agradado|ADJ	agradar|VERB
agradecido|ADJ	agradecer|VERB
agradecimiento|NOUN|Masc	agradecer|VERB
agrado|NOUN|Masc	agradar|VERB
agrandado|ADJ	agrandar|VERB
agrandamiento|NOUN|Masc	agrandar|VERB
agrandar|VERB	grande|ADJ
agrario|ADJ	agro|NOUN|Masc
agravación|NOUN|Fem	agravar|VERB
agravador|ADJ	agravar|VERB
agravado|ADJ	agravar|VERB
agravamiento|NOUN|Masc	agravar|VERB
agravante|NOUN|Masc	agravar|VERB
agravar|VERB	grave|ADJ
agravio|NOUN|Masc	agraviar|VERB
agredido|ADJ	agredir|VERB
agregado|ADJ	agregar|VERB
agresividad|NOUN|Fem	agresivo|ADJ
agresivo|ADJ	agredir|VERB
agresión|NOUN|Fem	agredir|VERB
agresora|NOUN|Fem	agresor|NOUN|Masc
agresor|NOUN|Masc	agredir|VERB
agriado|ADJ	agriar|VERB
agriar|VERB	agrio|ADJ
agricultora|NOUN|Fem	agricultor|NOUN|Masc
agricultor|NOUN|Masc	agricultura|NOUN|Fem
agricultura|NOUN|Fem	agro|NOUN|Masc
agridulce|ADJ	dulce|ADJ
agrimensora|NOUN|Fem	agrimensor|NOUN|Masc
agroturismo|NOUN|Masc	turismo|NOUN|Masc
agrupación|NOUN|Fem	agrupar|VERB
agrupador|ADJ	agrupar|VERB
agrupado|ADJ	agrupar|VERB
agrupamiento|NOUN|Masc	agrupar|VERB
agrupar|VERB	grupo|NOUN|Masc
agrícola|ADJ	agro|NOUN|Fem
aguacero|NOUN|Masc	agua|NOUN|Fem
aguada|NOUN|Fem	aguar|VERB
aguado|ADJ	aguar|VERB
aguafiestas|NOUN|Masc	agua|NOUN|Fem
aguaje|NOUN|Masc	agua|NOUN|Fem
aguanieve|NOUN|Fem	nieve|NOUN|Fem
aguantable|ADJ	aguantar|VERB
aguantado|ADJ	aguantar|VERB
aguante|NOUN|Masc	aguantar|VERB
aguardado|ADJ	aguardar|VERB
aguardiente|NOUN|Masc	agua|NOUN|Fem
aguar|VERB	agua|NOUN|Fem
agudeza|NOUN|Fem	agudo|ADJ
agudizado|ADJ	agudizar|VERB
agudizamiento|NOUN|Masc	agudizar|VERB
agudizar|VERB	agudo|ADJ
aguileño|ADJ	águila|NOUN|Fem
agujerear|VERB	agujero|NOUN|Masc
agujero|NOUN|Masc	agujerar|VERB
aguzado|ADJ	aguzar|VERB
aguzar|VERB	agudo|ADJ
agónico|ADJ	agonía|NOUN|Fem
ahijado|ADJ	hijo|NOUN|Masc
ahogadizo|ADJ	ahogar|VERB
ahogado|ADJ	ahogar|VERB
ahogamiento|NOUN|Masc	ahogar|VERB
ahogo|NOUN|Masc	ahogar|VERB
ahondado|ADJ	ahondar|VERB
ahondamiento|NOUN|Masc	ahondar|VERB
ahondar|VERB	hondo|ADJ
ahorcado|ADJ	ahorcar|VERB
ahorcamiento|NOUN|Masc	ahorcar|VERB
ahorcar|VERB	horca|NOUN|Fem
ahorrador|ADJ	ahorrar|VERB
ahorrado|ADJ	ahorrar|VERB
ahorrista|NOUN|Masc	ahorro|NOUN|Masc
ahorro|NOUN|Masc	ahorrar|VERB
ahuecado|ADJ	ahuecar|VERB
ahuecar|VERB	hueco|ADJ
ahumada|NOUN|Fem	ahumar|VERB
ahumado|ADJ	ahumar|VERB
ahumar|VERB	humo|NOUN|Masc
aireador|NOUN|Masc	airear|VERB
aireado|ADJ	airear|VERB
airear|VERB	aire|NOUN|Masc
airoso|ADJ	aire|NOUN|Masc
aislador|ADJ	aislar|VERB
aislado|ADJ	aislar|VERB
aislamiento|NOUN|Masc	aislar|VERB
aislante|NOUN|Masc	aislar|VERB
ajada|NOUN|Fem	ajar|VERB
ajado|ADJ	ajar|VERB
ajardinado|ADJ	ajardinar|VERB
ajardinamiento|NOUN|Masc	ajardinar|VERB
ajetreado|ADJ	ajetrear|VERB
ajetreo|NOUN|Masc	ajetrear|VERB
ajuiciar|VERB	juicio|NOUN|Masc
